id,Date,Measure,Count,Reporting,Missing
129,2021-01-31,Staff.Confirmed,95547,48,"Arkansas, Mississippi, Nebraska, Pennsylvania, ICE"
130,2021-02-07,Staff.Confirmed,95378,46,"Alaska, Arkansas, Connecticut, Mississippi, Nebraska
131, Pennsylvania, ICE"
132,2021-02-14,Staff.Confirmed,97266,47,"Alaska, Arkansas, Mississippi, Nebraska, Pennsylvania
133, ICE"
134,2021-02-21,Staff.Confirmed,99300,48,"Alaska, Arkansas, Mississippi, Pennsylvania, ICE"
135,2021-02-28,Staff.Confirmed,99813,48,"Arkansas, Mississippi, Nebraska, Pennsylvania, ICE"
136,2021-03-07,Staff.Confirmed,100239,46,"Alaska, Arkansas, Maine, Mississippi, Nebraska
137, Pennsylvania, ICE"
138,2021-03-14,Staff.Confirmed,101286,48,"Arkansas, Mississippi, Nebraska, Pennsylvania, ICE"
139,2021-03-21,Staff.Confirmed,102350,49,"Arkansas, Nebraska, Pennsylvania, ICE"
140,2021-03-28,Staff.Confirmed,99674,46,"Alaska, Arkansas, Mississippi, Nebraska, Pennsylvania
141, Virginia, ICE"
142,2021-04-04,Staff.Confirmed,103353,48,"Alaska, Arkansas, Mississippi, Pennsylvania, ICE"
143,2021-04-11,Staff.Confirmed,108551,47,"Alaska, Arkansas, Maine, Mississippi, Nebraska
144, ICE"
145,2021-04-18,Staff.Confirmed,109450,48,"Arkansas, Maine, Mississippi, Nebraska, ICE"
146,2021-04-25,Staff.Confirmed,107223,47,"Arkansas, Maine, Mississippi, Nebraska, Virginia
147, ICE"
148,2021-05-02,Staff.Confirmed,110738,48,"Arkansas, Maine, Mississippi, Nebraska, ICE"
149,2021-05-09,Staff.Confirmed,111194,48,"Arkansas, Maine, Mississippi, Nebraska, ICE"
150,2021-05-16,Staff.Confirmed,110920,48,"Arkansas, Delaware, Mississippi, Nebraska, ICE"
151,2021-05-23,Staff.Confirmed,111392,48,"Arkansas, Maine, Mississippi, Nebraska, ICE"
152,2021-05-30,Staff.Confirmed,111568,47,"Arkansas, Delaware, Maine, Mississippi, Nebraska
153, ICE"
154,2021-06-06,Staff.Confirmed,111588,48,"Arkansas, Maine, Mississippi, Nebraska, ICE"
155,2021-06-13,Staff.Confirmed,112453,47,"Arkansas, Maine, Mississippi, Nebraska, Wyoming
156, ICE"
157,2021-06-20,Staff.Confirmed,111547,47,"Arkansas, Maine, Mississippi, Nebraska, Wyoming
158, ICE"
159,2021-06-27,Staff.Confirmed,93947,40,"Alaska, Arkansas, Connecticut, Hawaii, Maine
160, Mississippi, Nebraska, New Mexico, North Carolina, Virginia
161, Wyoming, Federal, ICE"
162,2021-07-04,Staff.Confirmed,94048,40,"Alaska, Arkansas, Connecticut, Hawaii, Maine
163, Mississippi, Nebraska, New Mexico, North Carolina, Virginia
164, Wyoming, Federal, ICE"
165,2021-07-11,Staff.Confirmed,92215,38,"Alaska, Arkansas, Connecticut, Hawaii, Louisiana
166, Maine, Mississippi, Nebraska, Nevada, New Mexico
167, North Carolina, Virginia, Wyoming, Federal, ICE"
168,2021-07-18,Staff.Confirmed,91347,37,"Alaska, Arkansas, Connecticut, Georgia, Hawaii
169, Louisiana, Maine, Mississippi, Nebraska, New Mexico
170, North Carolina, Rhode Island, Virginia, Wyoming, Federal
171, ICE"
172,2021-07-25,Staff.Confirmed,92813,38,"Alaska, Arkansas, Connecticut, Georgia, Hawaii
173, Louisiana, Maine, Mississippi, Nebraska, New Mexico
174, North Carolina, Virginia, Wyoming, Federal, ICE"
175,2021-08-01,Staff.Confirmed,94465,38,"Alaska, Arkansas, Connecticut, Georgia, Hawaii
176, Louisiana, Maine, Mississippi, Nebraska, New Mexico
177, North Carolina, Virginia, Wyoming, Federal, ICE"
178,2021-08-08,Staff.Confirmed,92415,36,"Alaska, Arkansas, Connecticut, Georgia, Hawaii
179, Louisiana, Maine, Mississippi, Nebraska, Nevada
180, New Mexico, North Carolina, Oklahoma, Virginia, Wyoming
181, Federal, ICE"
182,2021-08-15,Staff.Confirmed,95775,38,"Arkansas, Georgia, Hawaii, Louisiana, Maine
183, Mississippi, Nebraska, Nevada, New Mexico, North Carolina
184, Oklahoma, Virginia, Wyoming, Federal, ICE"
185,2021-08-22,Staff.Confirmed,97862,39,"Arkansas, Georgia, Hawaii, Louisiana, Maine
186, Mississippi, Nebraska, New Mexico, North Carolina, Oklahoma
187, Virginia, Wyoming, Federal, ICE"
188,2021-08-29,Staff.Confirmed,104187,40,"Arkansas, Georgia, Hawaii, Louisiana, Maine
189, Mississippi, Nebraska, New Mexico, Oklahoma, Virginia
190, Wyoming, Federal, ICE"
191,2021-09-05,Staff.Confirmed,106299,40,"Arkansas, Georgia, Hawaii, Louisiana, Maine
192, Mississippi, Nebraska, New Mexico, Oklahoma, Virginia
193, Wyoming, Federal, ICE"
194,2021-09-12,Staff.Confirmed,101891,39,"Arkansas, Florida, Georgia, Hawaii, Louisiana
195, Maine, Mississippi, Nebraska, New Mexico, Oklahoma
196, Virginia, Wyoming, Federal, ICE"
197,2020-03-22,Residents.Deaths,2,51,"Kentucky, District of Columbia"
198,2020-03-29,Residents.Deaths,14,49,"Kentucky, Mississippi, Nebraska, District of Columbia"
199,2020-04-05,Residents.Deaths,31,52,District of Columbia
200,2020-04-12,Residents.Deaths,87,52,District of Columbia
201,2020-04-19,Residents.Deaths,155,51,"Mississippi, District of Columbia"
202,2020-04-26,Residents.Deaths,245,52,District of Columbia
203,2020-05-03,Residents.Deaths,337,52,District of Columbia
204,2020-05-10,Residents.Deaths,418,52,District of Columbia
205,2020-05-17,Residents.Deaths,450,52,District of Columbia
206,2020-05-24,Residents.Deaths,493,50,"Nebraska, Washington, District of Columbia"
207,2020-05-31,Residents.Deaths,542,50,"Nebraska, Washington, District of Columbia"
208,2020-06-07,Residents.Deaths,568,51,"Nebraska, District of Columbia"
209,2020-06-14,Residents.Deaths,606,51,"Montana, District of Columbia"
210,2020-06-21,Residents.Deaths,632,52,District of Columbia
211,2020-06-28,Residents.Deaths,661,51,"Mississippi, District of Columbia"
212,2020-07-05,Residents.Deaths,687,52,District of Columbia
213,2020-07-12,Residents.Deaths,709,49,"Mississippi, Montana, New York, District of Columbia"
214,2020-07-19,Residents.Deaths,769,51,"Mississippi, District of Columbia"
215,2020-07-26,Residents.Deaths,826,51,"Mississippi, District of Columbia"
216,2020-08-02,Residents.Deaths,874,50,"Mississippi, Montana, District of Columbia"
217,2020-08-09,Residents.Deaths,926,51,"Mississippi, District of Columbia"
218,2020-08-16,Residents.Deaths,957,49,"Mississippi, Montana, Oklahoma, District of Columbia"
219,2020-08-23,Residents.Deaths,994,51,"Mississippi, District of Columbia"
220,2020-08-30,Residents.Deaths,1047,50,"Mississippi, Nebraska, District of Columbia"
